country,intihar
Afghanistan,8.6301556
Albania,6.0608749
Algeria,4.6007648
Andorra,2.9027972
Angola,8.1438198
Antigua and Barbuda,
Argentina,3.28949
Armenia,1.5425181
Australia,4.001978
Austria,5.982184
Azerbaijan,0.5458435
Bahamas,1.6091108
Bahrain,0.7390744
Bangladesh,14.392731
Barbados,0.706948
Belarus,8.4730654
Belgium,8.197042
Belize,1.82664
Benin,4.4185719
Bhutan,12.635603
Bolivia,1.1768293
Bosnia and Herzegovina,6.0680461
Botswana,9.2061214
Brazil,1.858153
Brunei,0.3751453
Bulgaria,4.429179
Burkina Faso,5.6659718
Burundi,7.297821
Cambodia,3.420326
Cameroon,5.3283963
Canada,4.828558
Cape Verde,4.7647018
Central African Rep.,8.7737923
Chad,5.3716745
Chile,3.206247
China,18.021471
Colombia,2.180043
Comoros,3.5502226
"Congo, Dem. Rep.",7.2750969
"Congo, Rep.",6.9578524
Cook Is,3.2901485
Costa Rica,2.148408
Cote d'Ivoire,11.854336
Croatia,7.074668
Cuba,5.674331
Cyprus,0.2754736
Czech Rep.,4.079931
Czechoslovakia,
Denmark,5.689239
Djibouti,4.231966
Dominica,1.7832654
Dominican Rep.,2.4613562
East Germany,
Ecuador,4.6904726
Egypt,1.6061428
El Salvador,4.166975
Equatorial Guinea,7.1290746
Eritrea,6.5325646
Estonia,6.293787
Ethiopia,6.1241031
Fiji,3.3307049
Finland,8.453583
France,7.523865
Gabon,6.1823215
Gambia,4.6486492
Georgia,0.6898926
Germany,4.446264
Ghana,5.5802636
Greece,0.9383833
Grenada,0.3439734
Guatemala,1.167424
Guinea,5.4310536
Guinea-Bissau,4.7947478
Guyana,21.247286
Haiti,1.0052624
Honduras,4.775053
Hungary,8.70322
Iceland,5.8427291
India,14.306442
Indonesia,9.294591
Iran,5.1790652
Iraq,8.3937397
Ireland,3.41769
Israel,2.572143
Italy,2.2703223
Jamaica,2.3662062
Japan,9.467574
Jordan,0.1078235
Kazakhstan,8.599231
Kenya,7.6632581
Kiribati,
"Korea, Dem. Rep.",3.9471989
"Korea, Rep.",12.98079
Kuwait,1.1538948
Kyrgyzstan,3.090236
Laos,23.72337
Latvia,6.048817
Lebanon,5.2789407
Lesotho,5.8893261
Liberia,3.775203
Libya,4.159276
Lithuania,11.23422
Luxembourg,5.7680955
"Macedonia, FYR",3.4039364
Madagascar,4.2202902
Malawi,6.5418248
Malaysia,5.219152
Maldives,19.889219
Mali,5.0748553
Malta,2.803546
Marshall Islands,7.0165696
Mauritania,4.9972534
Mauritius,3.52988
Mexico,1.295992
"Micronesia, Fed. Sts.",4.5263863
Moldova,4.56739
Monaco,6.6497812
Mongolia,5.4671621
Morocco,2.1038945
Mozambique,7.5187688
Myanmar,8.5037918
Namibia,6.0174408
Nauru,7.3833604
Nepal,11.080085
Netherlands,4.820316
New Zealand,5.336744
Nicaragua,5.2110929
Niger,5.0397229
Nigeria,5.225975
Niue,3.615885
Norway,6.822908
Oman,0.5105498
Pakistan,13.026215
Palau,4.7989049
Panama,2.161664
Papua New Guinea,9.9924679
Paraguay,2.680549
Peru,1.1006752
Philippines,0.9789194
Poland,3.808252
Portugal,3.3817701
Qatar,1.0458887
Romania,3.121014
Russia,8.535518
Rwanda,8.4425001
Saint Kitts and Nevis,
Saint Lucia,3.4180279
Saint Vincent and the Grenadines,2.6567478
Samoa,5.3276896
San Marino,1.4865701
Sao Tome and Principe,4.8313169
Saudi Arabia,1.5659134
Senegal,4.9157228
Serbia,6.408779
Serbia and Montenegro,7.8880396
Seychelles,0.1813495
Sierra Leone,5.9691954
Singapore,6.623429
Slovak Republic,3.281882
Slovenia,10.38242
Solomon Islands,4.0406809
Somalia,26.972969
South Africa,7.1556244
Spain,2.90705
Sri Lanka,11.606933
Sudan,5.9421353
Suriname,9.5368757
Swaziland,10.956793
Sweden,5.873864
Switzerland,7.944855
Syria,0.4469334
Tajikistan,2.1073537
Tanzania,7.7506022
Thailand,5.4880352
Timor-Leste,6.9607606
Togo,4.5146222
Tonga,5.0622239
Trinidad and Tobago,7.1751614
Tunisia,1.9717368
Turkey,2.6394575
Turkmenistan,4.0120592
Tuvalu,7.4462986
Uganda,8.0460663
Ukraine,5.39009
United Arab Emirates,0.2742146
United Kingdom,2.879764
United States,4.175814
Uruguay,5.87522
USSR,
Uzbekistan,2.460547
Vanuatu,4.6405263
Venezuela,1.579628
West Germany,
Vietnam,9.2815466
"Yemen, Rep.",5.3736167
Yugoslavia,
Zambia,7.9598908
Zimbabwe,9.3760586